Designator,Mid X,Mid Y,Rotation,Layer
J1,113.5,-87.905,0.0,top
J4,90.6,-87.8,0.0,top
MAX485,109.38,-50.19,0.0,top
TEENSY 4.1,106.89,-67.62,0.0,top
U3,77.86,-97.085,0.0,top
